reg_no,semester,course1_marks,course2_marks,course3_marks,course4_marks,course5_marks,currentCGPA,previousCGPA,totalcredithours,high_edu,next_semester_CGPA,next_semester_grade,recommendation,reg_date,attendanceRate,studyHours,gender,email,No_prev_attempts,disability
30765d72e99339a9a37435c05b070548044a1cd01ead08d06c296ff1e24012ee,2,67,93,79,60,85,1.81,2.04,16,Bachelor's Degree,1.81,C-,Probation,19/09/2021,96,10.9,Male,590c39e27b0beb5919e44bcc7669748f6466b30d3edef6081e0c5e2bae496a42,1,No
4e0993163d1781c3f4b61a09e075809ef8f367bb5e674f489c1ec66441bdd310,1,79,71,50,64,72,2.97,2.97,13,Diploma,3.03,B,Low Risk,26/02/2021,84,17.3,Male,3ac31e0cb0dd062732c07992c8f80d496acbb085ef5d69dfeab361d44f6af69e,0,No
a8d1bfd357de4c45ad1a62ddc1ca81dd890843c6d1b80256f66b4e4b1f0aa15d,10,57,52,66,80,86,1.4,1.68,14,Bachelor's Degree,1.4,D+,Dropout,25/02/2020,73,12.7,Male,95e1cf31e50054a6213c23724dc0b82ebe26ca125d1b95b5de085b040e85b9d6,0,No
dac81f1041669c0f07229fc6e65f8cb4108d071523a0c856ab2f8a4c158b92b7,2,90,80,71,92,54,2.08,2.2,19,Bachelor's Degree,1.84,C-,High Risk,23/09/2020,76.11,14.4,Female,6c851aaae11f63c8747fd7bed2a48889435fbd1b9965c694cf6f81565e8f972a,2,Yes
41c7a963f16e4b7a22e222935a1ef2fe3d741fad3346062869f1acf8dbc01ac3,1,75,90,59,73,77,2.11,2.11,17,Bachelor's Degree,1.83,C-,High Risk,11/09/2021,74.32,13.9,Male,41733099bd7e50e8e4631ad0537ced1c5c0862bf736f6e376281f23f42736bb2,0,No
ae32c58b297f855c6f2de2dbb6e0cbd913476dd58678c93f6ba18416be417f68,7,60,63,52,68,61,2.19,2.12,18,Bachelor's Degree,1.87,C-,High Risk,05/02/2021,78.34,15.3,Female,7f3ab1241c0c5b60d70f1a473344c4715cd9f4902a3322f1de329527433b9c2d,3,No
9850362932d26757de4da98431f9c7693c7a69e463cf12f339da3f038da3c4b0,8,57,56,61,52,93,1.86,1.94,19,Bachelor's Degree,2.1,C,Dropout,25/09/2020,72,15.2,Female,db65fd360eeeb15de356b37bfadabe1e3fab1aeab2f018610d74ce3a1df962d7,0,No
448ff64e2aa248d45918a5f0649fa8670383ae09c307f7020ba9f52859bc38b5,5,63,89,90,54,85,1.77,1.97,18,Bachelor's Degree,1.77,C-,Dropout,04/02/2021,70,11,Female,01fff5f3605a239a361f11eac9703faa1cb0bf4f2fa4c59fecb1071262986f95,0,No
99bdf25c417161661446453b026fd9dad34aa22cf844d8673bdd465c3ece3ef2,2,75,95,78,52,95,2.87,2.6,19,Bachelor's Degree,2.5,C+,Medium Risk,13/02/2020,85,23.2,Male,1926f810f933409441137e41b7451e8dc1be28f3ccfd2f428af32ccb7d19d12a,3,No
6ac1408e0aac1e2a76c296cbc06bbe27d343983718cbfa89b349c83846d6a77f,3,74,63,92,95,60,2.5,2.81,15,Bachelor's Degree,2.2,C,Medium Risk,12/02/2020,85,22.1,Female,88bd9b3375399997917cf2d232311c5e4e65095f7ccfdf8738d69a28f48ecf53,1,No
fa979fa2a2eb36607fa45f87814cb1aa1796dd18ae3f0d0a064254773174af31,4,58,60,61,82,79,2.56,2.37,19,Bachelor's Degree,2.2,C,Medium Risk,20/02/2021,71,22.6,Male,5209912133704b15cdef4900619eec4ba927799bb209a26aee2a3ad89b3a9bab,1,No
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,67,93,79,60,85,1.81,2.04,16,Bachelor's Degree,1.81,C-,Probation,26/02/2021,96,10.9,Female,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,3,No
355339a34262dd76ed0adf8c138d5665db05eed27199bae681b8771767a69aa7,2,85,75,93,69,95,2.63,2.47,19,Bachelor's Degree,2.59,C+,Medium Risk,24/02/2020,81,19.3,Female,88e3115f8e740eaba703e77f41fa5c8157cf89adb69bb7e53fac707c54307a4e,2,Yes
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,8,63,88,54,66,68,1.94,1.97,13,Diploma,2.23,C,Dropout,18/09/2021,73,14.2,Female,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,0,No
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,9,61,82,89,86,72,1.68,2.06,13,Bachelor's Degree,1.4,D+,Probation,13/02/2020,98,10,Female,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,3,Yes
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,5,65,71,63,84,84,1.6,1.67,13,Bachelor's Degree,1.6,D+,Dropout,18/02/2020,71,11.3,Female,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,0,Yes
fb056b298c83d97f01e176a0f9760493639aef2df6ace6a8a505e449ef51232a,5,53,75,64,95,58,1.71,1.9,12,Bachelor's Degree,1.71,C-,Dropout,27/02/2021,72,9.1,Female,8e333f9902020a551f308df0dc838808f2d06f758787bfe6b9e4454257ca0f54,2,Yes
c6e476aecd06f9e3902d482fc2d8e4e99a2759c0005531d5c3b40725ac3fee3b,6,89,92,63,59,63,2.23,2.23,16,Bachelor's Degree,1.96,C-,High Risk,19/02/2021,70.5,9.4,Female,d00ea2967b09d7f5b6dc5112f85a41a732b94fbe8d8ae8834f82e24abd866a75,0,No
043ae6b31a0ab3a9dd33de9840d502f739511599500bed57e6ecb3ce47f324ac,2,70,75,86,67,80,1.92,2.2,15,Bachelor's Degree,1.92,C-,Probation,23/09/2020,82,14,Female,1239af6dda24a4a0bdf2754b99201da6c58410f5df1fff615965681358090d55,3,No
67b4ba812f0d873aab2f793eeafe33a4effb6384ea209b3176bed61d8e395cfb,3,63,69,72,76,80,1.74,1.75,15,Bachelor's Degree,1.74,C-,Dropout,02/02/2020,92,18.8,Male,4d9e2b98aa0059bac645140a7283edd2e9d818fd204a3c40258f375d1e1db23c,0,No
f5b313aecc84ced7ac06b547a295bd397055e79f3a16614ac685f294ea7a689f,1,75,62,91,90,78,2.32,2.32,12,Bachelor's Degree,1.97,C-,High Risk,25/09/2020,75.55,19.6,Male,b13c14dbb277a79c445a699fdda6c9760a733e793879906c586a1e2165d76721,1,No
bd1362025bbc797778f1fcec2c273dd3ea9bebdb07752aff8a7c7f2220f2a31c,2,91,82,78,71,55,1.99,2.3,18,Bachelor's Degree,1.99,C-,Probation,03/02/2021,98,12.9,Female,59a9f620a0153ed3e22bdeb4f3b4b77641f8c971ea5f0de0c9d220d471d392f5,2,No
8ffeeb60cf04e27c1ed0cd57932a3c610de4595bb040fe4ca503640dc8724520,1,61,55,91,79,94,2.02,2.02,12,Bachelor's Degree,1.72,C-,High Risk,28/09/2020,79.53,14.4,Female,f8b0f848fff8c677735c125eca291f970cb12e756692184924eb1b43a0aa3368,2,No
8cd6b7e8288b510873eb0b4828cfe55a3c20217c87bfb9409f58763563cbc2f2,6,95,52,87,74,74,2.2,2.2,19,Bachelor's Degree,1.88,C-,High Risk,13/02/2020,78.78,14,Female,ff0d024dcee9131b92dc30baef08fd5b34cd897b91697d17ed31039c67cebe0c,2,No
7feafd2e43d4b66901574de66352b8dc1a407d2706df8fd85ba792115ebf343e,4,91,52,54,82,55,3.34,3.68,14,Bachelor's Degree,3.52,B+,Low Risk,15/02/2021,71,16.2,Male,e13bc4847cf65b4c6013bb7b73b7257e22aa42d9d8f8cc8946491ec8b6f6062d,3,Yes
d82151b7f2d4a7106bbe10ce491948a5bd886a5e6883e987d20d9d3c2da352cc,9,74,79,80,88,50,1.37,1.74,18,Bachelor's Degree,1.37,D+,Dropout,06/02/2021,75,15.3,Female,42124462ee38112888f1a61daa8f3bad2e00acf7b9f85f493b9df48812bbe750,2,No
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,2,67,93,79,60,85,1.81,2.04,16,Bachelor's Degree,1.81,C-,Probation,12/02/2021,96,10.9,Male,4355c358b26372e895431a659f2aa80387b6e541a1e120d1665153cea0fbc672,1,No
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,4,71,81,59,63,77,1.72,1.74,12,Bachelor's Degree,1.57,D+,Dropout,22/09/2020,88,18.5,Male,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,3,No
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,1,89,80,50,74,64,2.13,2.13,17,Bachelor's Degree,1.82,C-,High Risk,23/02/2021,73.14,17.4,Male,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,1,No
6f26a3085ffc04809fd54a2ccaec540b17f8d61366490a12c2ad1a7874ff2ec7,1,68,93,57,52,92,2.11,2.11,17,Bachelor's Degree,1.94,C-,High Risk,20/02/2020,74.95,17.8,Male,204d6fa40c37b7215c0adab698b4864df0e0325c14c0dbb79cec395a9aa860e1,0,No
1a1fdc4d76869ce7a7ea9f0d2325468566dafa61037e0fc678da5ddd72c32556,2,61,70,92,82,63,3.26,3.05,19,Bachelor's Degree,3.26,B,Low Risk,18/09/2020,95,24.2,Male,385c799a06d1fd1830f11065d61ad5cfdc01fe5fc82af33f787c20ad408f118a,0,Yes
6418514dfe2f31f4cc94c2b74505dc5e78d46f47fcbd370dc8f50924bfab77e3,1,59,63,73,59,79,2.57,2.57,14,Bachelor's Degree,2.93,B-,Medium Risk,06/09/2020,84,17,Female,307cf10fc8b1b47792f7cfcdcb40cbcf0501cf0eb8039a7b7f94bb127253e95b,0,No
82fd1e6e4aeecddfc25643d38f07977eb91819b22c530d51c32c555239268606,5,77,87,71,69,89,1.95,1.92,13,Bachelor's Degree,1.95,C-,Dropout,13/09/2021,82,7.3,Female,6189c2bfc6e87beade77ff91c1ee5c0246a599eb4140515f196397a314bcc888,0,No
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,91,82,78,71,55,1.99,2.3,18,Bachelor's Degree,1.99,C-,Probation,21/02/2021,98,12.9,Female,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,1,Yes
04716e4beb99bd1516386a7f90eb587ef633d219272d55831fdcdbec65902e66,3,50,59,58,95,77,2.3,2.63,13,Diploma,2.58,C+,Medium Risk,22/09/2020,72,24.6,Female,710709c173c76e7eff7f880a730a8b55036907001722b8e3a36b0f9843cfd839,3,No
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,3,77,72,84,59,85,1.66,2.04,18,Bachelor's Degree,1.5,D+,Probation,27/02/2021,86,19.9,Female,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,3,Yes
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,6,95,52,87,74,74,2.2,2.2,19,Bachelor's Degree,1.88,C-,High Risk,08/02/2020,78.78,14,Male,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,2,No
95149bd6e97652b576256d2c621e780f7a8532216a475a2588508adbbd0189e9,6,64,57,89,58,61,2.29,2.29,17,Bachelor's Degree,2.04,C,Medium Risk,26/02/2020,79,21.5,Female,a74dc0c2c73fbc0f6ad44199c901c7389fc4fc7c670f70b36d903d09f59366be,1,No
75718af3d130126815de16594bea800b142a6385f11bc4cf7f439ff7def6af73,5,92,70,65,56,75,2.1,1.92,12,Bachelor's Degree,2.1,C,Probation,13/02/2021,77,12.2,Female,cc76ed158c35da788bea00d7f31ea6c4eb179ca5ec9a7c8e4d470513e0b26a4b,0,No
67cadd3d631bf158c407d5707343e0a096df2f2edb4e0a329942c502181d9b58,7,93,88,81,71,53,2.65,2.81,12,Bachelor's Degree,2.86,B-,Medium Risk,03/02/2021,81,24.5,Male,00bd60c59783e297e691c603faff36c3bcfb49a4a6b583eba6398f2f1c4a189b,1,Yes
74eae8f43d8b9061380c2b09b00f94611a734bdffb66e9d0fa9527c52ad5d0c9,3,53,91,56,65,77,2.46,2.54,18,Diploma,2.46,C+,Medium Risk,19/09/2020,98,17.9,Female,323cc2881c00c1832c907cabef0c4e524920262c51eeae076dc1cb604d2dc7a1,2,Yes
1936578301fa8897ba7fc874ac68eb01e8fbe794c443bc097310675f6aea8496,4,89,75,61,89,66,3.08,3.02,14,Diploma,2.71,B-,Medium Risk,07/02/2021,75,20.3,Male,51e1918443962b6d93c5d26e960ef8d38a8135c60daaff82758c7018ef1366d3,2,No
7e828defdfbac4ce1d85411868577042c0dc625fd2ed8b6e5eaa4bc4f54eb052,2,86,70,73,89,81,2.1,2.34,18,Bachelor's Degree,1.77,C-,High Risk,13/09/2021,74.52,8.8,Female,adcb01fe78a69b53cfaa36c17f4c970db7479efe1e5e9131d4b11743b0f53b6c,1,Yes
801cd9439b0ada68804a4cd7969904ade26c09adb7453c0614cba99e5f11a83d,3,72,83,69,69,93,1.84,1.79,17,Diploma,1.89,C-,Dropout,05/09/2021,90,11.6,Male,7a2c8a42ae13145927cf044c8d308a089ee603ae3950e69c9f0c314fa8bf606e,1,No
2b8ebfea4cbaeb5c87025455e686459c3fcbead50ec538d99ff0002348b1255f,7,84,94,80,53,74,1.67,2.04,12,Diploma,1.67,C-,Probation,05/02/2021,74,19.4,Female,f812ac3b7acb68eb48bc9b8a41044fa7d1edc689493f4b8aa7442cdae54d07a0,1,Yes
0d1266fdbf1da23ae649e8b5108b0ab111440d277813fa733bc09efa21c8aa3f,4,65,87,78,69,67,1.52,1.88,13,Bachelor's Degree,1.43,D+,Dropout,24/09/2020,90,8.9,Female,4fdc73ea7e53e864078574ae6b3b01a0add26e13e0a7b66cd7d44991267174f1,3,No
4fc5c0b26ae47a180e5bd925bb9a341385eeafad4744b13967aed467cae75157,4,88,94,65,50,73,3.89,3.62,17,Bachelor's Degree,3.89,A-,Low Risk,24/02/2021,77,23.6,Male,9888f56db9b2917190412d1a598c7e6022768729b7b4654d3441e856a38b275a,0,No
6e6b7a90e97cbbc22b39398d39b9b16888ca1ab93cbf77b5b535a2fccfb95fe1,5,59,68,70,90,64,1.2,1.5,16,Bachelor's Degree,1.2,D,Dropout,19/09/2021,98,15.8,Male,3c52395b619162136900e46eb7aaceb3d72deeec3bd5cf5718d6e32aedbc4e38,1,No
b528528a9ecbe3a3b8a133626a691d729282e31bc42da44f53986e69f85371de,6,53,69,93,75,54,2.18,2.18,13,Bachelor's Degree,1.86,C-,High Risk,12/09/2021,71.92,11.8,Male,51d4e5b91f20d5a4dc1bd6a7db3c49aa9fbfe4ca2eef95b07c07b9a576d5e61b,1,No
b4919b3abb58e507832c7e000022e64e4a1c2f058855244fe2c2412488992ca7,6,57,77,93,61,93,2.4,2.4,14,Bachelor's Degree,2.52,C+,Medium Risk,05/09/2020,97,16.4,Male,b397baad2305c1069e50b3c604294a61483fa6a5ae5bb9cdeabcefb909b40548,1,No
64f9e7a296a4535f4bbf08ac04eea768f4a2b73c19db67df5ab2591f23e73c1c,2,91,82,78,52,55,3.33,3.39,14,Bachelor's Degree,3.33,B+,Low Risk,03/09/2021,84,20.3,Male,5058299d84a07e4bbd9a4e141abbdf725290f45d3b5c5bd93bde979984ba1200,2,No
b9a1b34003f56b03963d09774555116be8adc426b017952e6a11e4002522256b,2,65,93,52,52,85,1.78,2.12,13,Diploma,1.67,C-,Probation,28/02/2020,76,10.3,Male,8fc2ffc35d88f40341cefb1486bf3a7a20537a3ea57c91189b1498a0043df843,2,No
2fc61f65c29a1ce4240c0c79a832c0ce71d85580ca3f1ae496bcc97f88e3f1f5,9,55,79,91,77,70,3.93,4,12,Bachelor's Degree,3.93,A-,Low Risk,05/02/2020,84,20.1,Male,92c6467dde5e0276f268762a68e9513e36b7c615057cb399c5fde73e38183d81,3,No
259ef9460a59f9fd85f9a43db9104b7bac8f912cdcc7882e15343eedf6695aab,4,71,64,64,63,67,1.91,2.18,19,Bachelor's Degree,1.85,C-,Probation,26/09/2020,92,10.2,Male,039b36101e9c5d4b7a4f0ee5e33bdb5264061898b536751a0c6ecaab5b29d1c9,0,Yes
d4ca167a253083b056dd6e64a61c37d7aa303718eb852fe10a39f4215bbbc593,3,87,91,80,92,91,1.77,1.84,15,Bachelor's Degree,1.47,D+,Dropout,20/09/2021,74,18.9,Female,312966ce659534dc18e34e96f3d3ccf8d52448b042d348bfe5ba39b6771d1487,3,No
4854759b329040730df39f4082f3bb1103af5d67d027be66db548d24ebf55f9a,4,94,84,81,65,82,2.64,3.01,15,Diploma,2.64,C+,Medium Risk,13/02/2020,75,18.3,Female,0d2f52f1e680d6f346cea5fe335f526eb747b4290508d78dcca31b7e7dfa9f4e,0,No
bb7d8bef8818bf2f938b4b8167a5e6ef19d006acfce203ec3881d099a6615e2e,5,90,79,56,84,59,2.84,2.95,16,Diploma,2.84,B-,Medium Risk,20/09/2021,89,24.4,Male,a2bbccb3d5b2de96160300b0fed9c15330102335e5b60dfe662ecfbe5de40309,2,No
7a077cb2fbefba6617fae7bc17074b4dd54e853db5110a584b447638a54c3deb,2,56,91,77,83,77,1.97,2.2,13,Bachelor's Degree,1.64,D+,Probation,17/09/2021,83,17,Female,74a79acb816b2247f78302847359574e5e7abba9ee3ee72580f579dad6d93b12,2,No
1ccfe3a19946af3c2c94a25a881159dd955f7d11cddc206ec6fa3eb71ab943c4,3,89,75,94,60,71,2.36,2.25,15,Bachelor's Degree,2.11,C,Medium Risk,18/02/2021,98,17,Female,fbec564e6c9ad013c5e06e19d5a8dff11181474e00396452912e5c4a89f467ca,2,No
940552910f0b2db02de7f8692eaff6a664d5072ea23a91a987130a5ee672478f,3,89,85,52,75,91,2.02,2.3,15,Bachelor's Degree,1.81,C-,High Risk,22/02/2020,79.74,9.3,Female,d24cd2a703dd87badbb6de0f5e8e618522fd280d8fec2ecbdb84b7013c0f59f0,3,No
0b24189468ba0993acbf3259942856012b24a93faf82569a344d7e96af10e576,7,58,93,64,80,76,2.49,2.61,14,Bachelor's Degree,2.1,C,Medium Risk,22/02/2020,96,15.1,Female,8d0a1758f90282fa52fe27a7bb152e299a0df74821e70e12370818adc1e75253,1,No
10398f9ae7ece371ce15a495cab661b1ab1c73dbcf48334f40c5fa978f871d1c,5,63,50,86,53,80,3.81,3.43,12,Bachelor's Degree,3.81,A-,Low Risk,25/02/2021,70,22.4,Male,9838b3ec5e2fc2ab9afd4c7fbfe1016b1a545e1d81e2e937ec57ea1ef9e9e436,1,No
ec3d4ece2d8572a9ddd762eb3a47fcf3ddf2e489f2832a2f863bdea8d6cd7b29,8,86,75,87,83,54,1.98,1.99,19,Bachelor's Degree,1.91,C-,Dropout,04/02/2021,94,10.7,Female,a1f3c1bb3d3ca1970e4562c1ed3e7329a7fc7e95dbe32ec6d8aec0d36dcd76ec,2,Yes
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,1,75,62,91,90,78,2.32,2.32,12,Bachelor's Degree,1.97,C-,High Risk,14/02/2021,75.55,19.6,Male,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,1,No
efb2a9d5d81303d8d5834134e2d0035fdf638a8f22dd8a27a38194fc4a831a16,1,91,69,60,89,72,2.02,2.02,15,Bachelor's Degree,1.71,C-,High Risk,15/09/2020,79.31,18.9,Female,c728b72bc74e01ac59f65544b622336235d997ba12e1c7f17f1690d9bba12123,1,No
30bb35a9a13b456f8bdd516124461b44645aaaea2c391901cedcc3ab36fd5963,5,83,70,85,77,80,2.76,2.73,16,Bachelor's Degree,2.76,B-,Medium Risk,24/02/2020,98,15.7,Female,22a34baa4c3533091c20abd4df0fc91a59aa23536e63c94ac32974e77b164685,3,Yes
3c83e6a2935506a79ee6cf0d7d9eb680a1b5c8d0697c4d5b9c16f76501ff49bc,3,56,71,50,53,51,1.92,2.1,15,Bachelor's Degree,1.92,C-,Probation,17/02/2021,76,13,Female,d6d614add14c9ff7b21df882b45e045ecdc44d6f90f238a632717fae62901466,0,No
2ceec581a8c595b9ca90678ff10b08e192adce19bfa5b24f8f3c91f725351932,7,78,73,85,65,65,2.67,2.48,18,Bachelor's Degree,3.05,B,Low Risk,17/09/2020,96,17.9,Male,0dfa74f9eaeaca74492ea1aef1268e21e299aad497ebd946a33d27f731c422d5,2,No
b533d26d0349420de755f20b5bd18bfcd092698bbd774c5aba7d90e8924455c2,2,56,76,84,94,87,3.52,3.64,17,Bachelor's Degree,3.27,B,Low Risk,28/02/2020,83,20.2,Female,22c682081347efcbe17792e41441dfcf9dd0b8b1c439c9801a0ca1c6e4a6128b,2,Yes
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,86,70,73,89,81,2.1,2.34,18,Bachelor's Degree,1.77,C-,High Risk,27/02/2021,74.52,8.8,Male,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,3,No
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,8,63,88,54,66,68,1.94,1.97,13,Bachelor's Degree,2.23,C,Dropout,05/09/2020,73,14.2,Female,4355c358b26372e895431a659f2aa80387b6e541a1e120d1665153cea0fbc672,3,No
70f5637f3d325ec32d0128eb9d7025e26a5539a875b0484e39dad500dfbd2d80,8,91,74,92,54,65,1.9,2.19,14,Bachelor's Degree,2.12,C,Probation,25/02/2021,70,8.9,Male,11849444c47275881b9e1908696ca284567067eea987959677d299ca251b3ac5,1,Yes
6623429c4883aae9c8c623f4f29193c6cfd7a9df7652e85cbc85bb10f77be770,4,91,57,71,88,64,2.17,2.24,19,Bachelor's Degree,1.95,C-,High Risk,18/09/2020,77.29,15.8,Female,f9f3c78050b5ef1f78c9b39552eed38ad9f30918e3a0a5da714d32817d3da5e2,2,No
2580ba4c9119266528d1c6c7715387f447d34c2fe5281fa6e20f1dcc0231a532,7,53,91,58,90,65,2.93,3.1,14,Bachelor's Degree,2.54,C+,Medium Risk,20/02/2020,73,23.4,Male,16bb1068a7d8425bdaf59a62cbe34345443462df13e289c9b0936e709c47e292,0,No
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,10,90,84,92,50,86,1.84,2.1,19,Bachelor's Degree,1.84,C-,Probation,16/02/2021,92,11.2,Male,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,3,No
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,8,63,88,54,66,68,1.94,1.97,13,Bachelor's Degree,2.23,C,Dropout,04/02/2020,73,14.2,Female,eb5354e2f9857ae0e949d8a21b2bb08394706f50ef86af8cc82ae2ac128dd50b,0,No
ac76ff01b27ad3fa57cd237e1f941343eadc036bbec140b769eb4da6e512be4f,2,77,60,64,62,67,1.86,2.03,14,Bachelor's Degree,2.04,C,Probation,27/02/2021,76,18.5,Male,ef3744240c9006347b8b7abe847bb51998e79ccbc82b0263c9b2aae9b0aaf66b,0,No
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,77,60,64,62,67,1.86,2.03,14,Diploma,2.04,C,Probation,08/02/2021,76,18.5,Female,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,2,Yes
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,1,86,76,53,61,68,2.1,2.1,16,Bachelor's Degree,1.75,C-,High Risk,08/02/2020,79.17,14.3,Female,c367e4b80dceb975b031f2b1c9c8d12bf3a3d2ecb29bf808aec4ce0d41beae1e,2,No
