reg_no,reg_date,attendanceRate,studyHours
355339a34262dd76ed0adf8c138d5665db05eed27199bae681b8771767a69aa7,24/02/2020,81,19.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,18/09/2021,73,14.2
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,13/02/2020,98,10
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,18/02/2020,71,11.3
fb056b298c83d97f01e176a0f9760493639aef2df6ace6a8a505e449ef51232a,27/02/2021,72,9.1
c6e476aecd06f9e3902d482fc2d8e4e99a2759c0005531d5c3b40725ac3fee3b,19/02/2021,70.5,9.4
043ae6b31a0ab3a9dd33de9840d502f739511599500bed57e6ecb3ce47f324ac,23/09/2020,82,14
67b4ba812f0d873aab2f793eeafe33a4effb6384ea209b3176bed61d8e395cfb,02/02/2020,92,18.8
f5b313aecc84ced7ac06b547a295bd397055e79f3a16614ac685f294ea7a689f,25/09/2020,75.55,19.6
bd1362025bbc797778f1fcec2c273dd3ea9bebdb07752aff8a7c7f2220f2a31c,03/02/2021,98,12.9
8ffeeb60cf04e27c1ed0cd57932a3c610de4595bb040fe4ca503640dc8724520,28/09/2020,79.53,14.4
8cd6b7e8288b510873eb0b4828cfe55a3c20217c87bfb9409f58763563cbc2f2,13/02/2020,78.78,14
7feafd2e43d4b66901574de66352b8dc1a407d2706df8fd85ba792115ebf343e,15/02/2021,71,16.2
d82151b7f2d4a7106bbe10ce491948a5bd886a5e6883e987d20d9d3c2da352cc,06/02/2021,75,15.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,12/02/2021,96,10.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,22/09/2020,88,18.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,23/02/2021,73.14,17.4
6f26a3085ffc04809fd54a2ccaec540b17f8d61366490a12c2ad1a7874ff2ec7,20/02/2020,74.95,17.8
1a1fdc4d76869ce7a7ea9f0d2325468566dafa61037e0fc678da5ddd72c32556,18/09/2020,95,24.2
6418514dfe2f31f4cc94c2b74505dc5e78d46f47fcbd370dc8f50924bfab77e3,06/09/2020,84,17
82fd1e6e4aeecddfc25643d38f07977eb91819b22c530d51c32c555239268606,13/09/2021,82,7.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,21/02/2021,98,12.9
04716e4beb99bd1516386a7f90eb587ef633d219272d55831fdcdbec65902e66,22/09/2020,72,24.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,27/02/2021,86,19.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,08/02/2020,78.78,14
95149bd6e97652b576256d2c621e780f7a8532216a475a2588508adbbd0189e9,26/02/2020,79,21.5
75718af3d130126815de16594bea800b142a6385f11bc4cf7f439ff7def6af73,13/02/2021,77,12.2
67cadd3d631bf158c407d5707343e0a096df2f2edb4e0a329942c502181d9b58,03/02/2021,81,24.5
74eae8f43d8b9061380c2b09b00f94611a734bdffb66e9d0fa9527c52ad5d0c9,19/09/2020,98,17.9
1936578301fa8897ba7fc874ac68eb01e8fbe794c443bc097310675f6aea8496,07/02/2021,75,20.3
7e828defdfbac4ce1d85411868577042c0dc625fd2ed8b6e5eaa4bc4f54eb052,13/09/2021,74.52,8.8
801cd9439b0ada68804a4cd7969904ade26c09adb7453c0614cba99e5f11a83d,05/09/2021,90,11.6
2b8ebfea4cbaeb5c87025455e686459c3fcbead50ec538d99ff0002348b1255f,05/02/2021,74,19.4
0d1266fdbf1da23ae649e8b5108b0ab111440d277813fa733bc09efa21c8aa3f,24/09/2020,90,8.9
4fc5c0b26ae47a180e5bd925bb9a341385eeafad4744b13967aed467cae75157,24/02/2021,77,23.6
6e6b7a90e97cbbc22b39398d39b9b16888ca1ab93cbf77b5b535a2fccfb95fe1,19/09/2021,98,15.8
b528528a9ecbe3a3b8a133626a691d729282e31bc42da44f53986e69f85371de,12/09/2021,71.92,11.8
b4919b3abb58e507832c7e000022e64e4a1c2f058855244fe2c2412488992ca7,05/09/2020,97,16.4
64f9e7a296a4535f4bbf08ac04eea768f4a2b73c19db67df5ab2591f23e73c1c,03/09/2021,84,20.3
b9a1b34003f56b03963d09774555116be8adc426b017952e6a11e4002522256b,28/02/2020,76,10.3
2fc61f65c29a1ce4240c0c79a832c0ce71d85580ca3f1ae496bcc97f88e3f1f5,05/02/2020,84,20.1
259ef9460a59f9fd85f9a43db9104b7bac8f912cdcc7882e15343eedf6695aab,26/09/2020,92,10.2
d4ca167a253083b056dd6e64a61c37d7aa303718eb852fe10a39f4215bbbc593,20/09/2021,74,18.9
4854759b329040730df39f4082f3bb1103af5d67d027be66db548d24ebf55f9a,13/02/2020,75,18.3
bb7d8bef8818bf2f938b4b8167a5e6ef19d006acfce203ec3881d099a6615e2e,20/09/2021,89,24.4
7a077cb2fbefba6617fae7bc17074b4dd54e853db5110a584b447638a54c3deb,17/09/2021,83,17
1ccfe3a19946af3c2c94a25a881159dd955f7d11cddc206ec6fa3eb71ab943c4,18/02/2021,98,17
940552910f0b2db02de7f8692eaff6a664d5072ea23a91a987130a5ee672478f,22/02/2020,79.74,9.3
0b24189468ba0993acbf3259942856012b24a93faf82569a344d7e96af10e576,22/02/2020,96,15.1
10398f9ae7ece371ce15a495cab661b1ab1c73dbcf48334f40c5fa978f871d1c,25/02/2021,70,22.4
ec3d4ece2d8572a9ddd762eb3a47fcf3ddf2e489f2832a2f863bdea8d6cd7b29,04/02/2021,94,10.7
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,14/02/2021,75.55,19.6
efb2a9d5d81303d8d5834134e2d0035fdf638a8f22dd8a27a38194fc4a831a16,15/09/2020,79.31,18.9
30bb35a9a13b456f8bdd516124461b44645aaaea2c391901cedcc3ab36fd5963,24/02/2020,98,15.7
3c83e6a2935506a79ee6cf0d7d9eb680a1b5c8d0697c4d5b9c16f76501ff49bc,17/02/2021,76,13
2ceec581a8c595b9ca90678ff10b08e192adce19bfa5b24f8f3c91f725351932,17/09/2020,96,17.9
b533d26d0349420de755f20b5bd18bfcd092698bbd774c5aba7d90e8924455c2,28/02/2020,83,20.2
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,27/02/2021,74.52,8.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,05/09/2020,73,14.2
70f5637f3d325ec32d0128eb9d7025e26a5539a875b0484e39dad500dfbd2d80,25/02/2021,70,8.9
6623429c4883aae9c8c623f4f29193c6cfd7a9df7652e85cbc85bb10f77be770,18/09/2020,77.29,15.8
2580ba4c9119266528d1c6c7715387f447d34c2fe5281fa6e20f1dcc0231a532,20/02/2020,73,23.4
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,16/02/2021,92,11.2
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,04/02/2020,73,14.2
ac76ff01b27ad3fa57cd237e1f941343eadc036bbec140b769eb4da6e512be4f,27/02/2021,76,18.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,08/02/2021,76,18.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,08/02/2020,79.17,14.3
b43d0096c0b38c84d5db75be464aca53cfbeaa715f53505bd879e29f99e9f859,03/02/2020,75,17.2
92afc50a730a3d6de9d7195a94ff499107ff0521358f89b106cb3094c810fd13,27/09/2021,77.36,15.3
05330f5cb3baccbfbd3a830166d8dbb36a6e5142ef9f3da3f68d609712a6467e,25/02/2020,82,23.2
97ad6832e5b1539a35d94b62ee816af9e248d97966f1433892ad3aa4a5985f33,05/09/2020,80,21.4
dfe78a98bdcfd23ebe054df96290fcec2159172cc2527befd31e5d0a5229b556,18/09/2021,73,17.1
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,09/09/2020,98,15.8
b9596c4313ad6c45177b93f3329986943bcf13a3851cac6c53a3086101905c5c,07/09/2021,84,7.2
e28544f822b82ab8ab1ce39ee7178c7a6c1246d643fbce4a5f378f641ed6f026,23/09/2020,91,24.2
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,13/02/2021,91,9.1
4c21f5da0554eb76f751ba9fc72450d7643cb30e5f41e807adce60245dbff02c,15/02/2021,70,16.2
64ca51e12c9096c6197ec0ecfa961a3d29b62687a7e4ad3a9c6215eb566b0048,04/09/2021,82,19.1
0bf0fd17cdfe31230a4f1005c4257407af8700edad945d0115da6777525d22ef,08/09/2020,80,10.8
04bab72cef1810c7b04e6a126839c6106566fc22e077e5336bb97f9cfb96f77a,11/02/2020,70.67,16.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,19/02/2020,84,15.4
20dd5455bf9201b244cbaa4f57707d0a7d739bd809bdec0735b890fc2ff305da,19/09/2020,80,22.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,01/09/2020,94,10.7
e43ba6a5e8f56b2daab27a47ba378ae94460b79dd093a50dbf4b047924e49ba5,23/02/2020,84,9.9
b551fbf7252758c146196fc12d2b2833dd3218f7ea4510cb30defb83856e4692,08/02/2020,83,22.7
15f527d7dee4c395a5bd3945e2fea1626f583338c3aa6c1b8a8282d448a1a773,02/02/2020,89,20.3
59dd139260fccca8ec48aa9caed8a92adfcc5adcc2d8872fcef46a7808287ff4,03/02/2021,79,19.5
6c4b213354d120ba13c399425cce139606b375ead67704f9553a6660b9962498,09/09/2020,81,18
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,07/09/2021,76,13
cbfc337f0091403e337f01f864b83e2f3628d544451e96c9d537dc3770e4f096,24/09/2020,84,24.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,08/09/2021,74.95,17.8
816f0613fe9a67acb2c9fe8fcec636f9c886149627722858da7290ff1084b7ed,26/09/2021,81,15.6
6169fbff8cd37f09acca15c2220b0a67d8e101e27ba0322a3362edebb7220789,07/09/2021,82,17.1
0f0de075cea974f9c60375ecc8528bef5b451f646248e97755094a78ddee4d76,04/02/2020,93,17.2
afc7369d8f7f09a13add8b4aaf7e1ca2fd4233b2d09fce97cec2983199e3f517,12/09/2021,97,17.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,14/09/2021,76.11,14.4
22d78fd957cd2ed2cd51b405e0a487cd134db112d2f1a26344d7e057bfb67c04,28/09/2021,74.27,8.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,22/02/2020,86,16.8
2c623dac65bf2ac3e5fd547f7bccfa00d16fb5b3c725ce039f969d7f4f94ce89,02/02/2020,94,17.6
ea40b0dd38d751065422dc619af1c675308f52db1f5eb3c611f8c1953359aecf,24/09/2021,88,16.7
f56b9e57d8eede5d1d770f091b195028d12d2b708e8179aa2ddbad0ec7a872cb,26/02/2021,75.5,15.9
4fbbbaab51401972b81a7a49689e69d237050c9566f57aa5754921d632fbe255,08/02/2020,88,22.8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,07/09/2020,79.31,18.9
cc0cd0550e557b494ef409e72b33a24c0cc1b9865055bdae7cc013e052e6e071,05/09/2021,94,21.9
dd0b0548de7afd09af5c36fbc3389bb425ab258225ab71b54eab112f5201ac57,06/09/2021,78,17.6
dffee8a735a2f45240bb77d68fa5315cc6bbe22a9002d4411f347f85a8e4da4d,15/02/2021,98,14
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,28/09/2020,70,24.8
2d53c02c37a99c42ecb2d7b7e47c13ac3742dcefe0bdad2c906196f179c9c74c,15/02/2020,74,17.8
6a80053207dbae72a56e862394e86f7eaba36d355189ef1d6ff703cdfb32cd0f,02/02/2020,77,24.2
f63ff855c197eef4e380399d5838d28bbc8a199f58fff04ffd005e697aa4002d,03/02/2020,83,19.2
1fc3dbdb09eda7f23dd67f21a52208370b4c15c8eb4c876bd9987712c78a89d1,06/09/2020,92,20.7
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,16/09/2021,75,15.3
0ba24f03daf4d6f87046cfc1e8e0cec9ad43a89c5d2613c95fb0d720e77cc118,07/09/2021,94,17.9
59805ab6c6564f9d30191f6b863a0e41c4b2a26f511141c4b8844500d8a24b0f,02/09/2021,73,22.6
d9d367dc3aa9bc55698b2645a9e41d098d59f0a030123bd3c338c9b04501997b,13/09/2020,80,8.8
5e24d6b9ce4c1e6a0e6d307780519a665709e85453a4039f3d130eba0b6fd8cd,13/02/2020,82,18.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,26/02/2021,78.34,15.3
837986416104f349761f3191620c5ac59f3316fa17cc423b6cea3856f4ad48cc,10/09/2021,85,16.9
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,23/09/2021,74.52,8.8
c1d1b822bab028606a341518a930c1778f7fcd2a98d7d0ed706b6432ec34aa2e,05/09/2021,84,23.9
f0a0a7ba5166b96ee8dde06a7e9592f2640b5c0adfc98475d0d3a6148ccdcaf2,10/09/2020,75.29,19.3
ce9a6a1a0013201e3ad8cda93b28e8a85df25c7ca7195ac82579065fbe29e26c,02/09/2020,72,15.2
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,24/02/2020,83,19.2
a14208011d93576f8cab7d5b6a39b43fa18598f6d4feec7b1bcf2db1cb0ffeac,02/02/2021,86,23.7
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,19/02/2020,79.31,18.9
db5ba98a3e2312121c792a20d94fdcbe90904c24730e09cfeaef32b9345dfa08,17/09/2021,84,16.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,02/09/2020,81,18.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,28/02/2020,90,11.6
cfab12580fd4cc49d5871b52717f1c68e04015d948bc68788ce7d82bf3545dfa,03/09/2020,95,8.7
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,22/02/2020,79,18.8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,13/09/2020,77.29,15.8
ef5494b1c5b9700171a54eb4727fd0e02ed952b030670d3b5b0cda8dff834c68,19/02/2020,84,20.9
eba6618a42db8766ff8087297b5829f13812d36e4c9e06bc9bbc9d2221fe01c3,19/09/2020,73,21.5
49f63785f8ac11c255d410650cb4afd5c6b34352b09826739a9c08cbee9b24c3,20/02/2020,98,24.4
30671500479486aabcb7efc108acee76e971c1b81db83befd2c18cb6e4857c39,14/02/2020,70.59,14.9
2f768ffd3a7c1411141a3337fa18b5155a61644970c2fb926755c7c934f12a93,09/02/2021,89,16.9
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,22/09/2020,84,15.4
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,08/02/2021,74,17.1
1f2aa53c9e214fa0e0ea3e3f32dbb4985ff174bb8c3e6007baff4b3476ddb8d7,13/02/2021,77,19.9
1774e5746a9c164396c4d7b59a577538e91bf5778ba8257f8f2a16fdfd5e996d,22/09/2020,88,15.4
9de5297f97072b2d42651b7ef436a7efe2159da1c9616c8383ced62a711eb32b,15/02/2021,74.55,10.9
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,25/02/2021,90,11.6
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,01/02/2020,91,9.1
ad26085a68c17c70e3387eca8a2e995471e54c46a089874987a96cc8be06ce24,20/09/2021,94,17.5
65aaf58b82b6f454915446aa11720dbba319a7a172939863466c046defbdcf6c,03/02/2020,71,25
7b3eed2937aa2a5c488a8346d5b1aece0191dc0060143bb31de5ce5d8bc75918,17/09/2020,88,17
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,05/02/2021,85,16.9
2dee97803d1a5a5b02f89142e17a3b8840e156fbb7db16e763f5c7c8b2a5a5bd,03/02/2021,71,16.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,12/09/2020,72,16.2
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,06/02/2021,86,16.8
b8abbea9aa8b84ca888fc68c2d465f56d924049ed278ff22f106922fdc77dc09,27/09/2021,89,17.8
76ca0dbf396e51ee6eb25ee540f4b00c661c196376c12d86c1b108f5f70ffbf6,20/02/2021,92,6
f88483cfc4ecd29553487a04b3be384a1276ad01ba622eb2a241b8afcc462ac7,22/02/2020,81,15.8
2f9ff694503011d916615a1424a18b5fa5e502587d46299e2880cf81c2ba242e,22/02/2021,78.81,20
bf9cf43e94ed4b2c62931ef324e008de50a0a756bc1152797df31db401ca9527,05/02/2020,75,23
3d01a98bcaa5ce82ff1875f4e907a9752a708edd98fdb088706f63778933e923,04/02/2021,73,8.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,24/02/2020,82,18.3
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,09/09/2020,74,14.5
6e030205491ad15920816e6ae2db2e52e17a07c8b0775b560e76ec9e9a506b56,20/02/2021,84,17
419dc51fca86d76f5690b73157c90aa3c5b5df503e52009761d0441b122daf6c,23/09/2020,96,21.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,07/02/2021,78.99,11
091c3e57651a6080da2178d13d165eef0fab7dfd9a820aecd77f993730a11d37,17/02/2021,84,15.1
5979cb3b048ced399f573be01db08a771dc1b17d381096c2c376d07767ca88d7,09/09/2021,75.55,15.4
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,03/02/2020,77.36,15.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,27/09/2021,86,9.4
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,02/02/2021,71.92,11.8
0f678fad298483afd603905acadd6ffbd764f32db293d4905c8a9a538ea25b24,11/02/2020,71.7,6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,21/09/2020,80,8.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,06/02/2021,71.92,11.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,18/09/2021,79.17,14.3
1c4e6fffc0d6c1d30916aedf05996d219cf69b8439883e8853bba88719eb9330,18/09/2021,97,24.5
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,04/02/2020,86,14.7
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,23/02/2020,70,16.2
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,18/09/2020,98,15.8
dc58d64d9966df0bcc711c8800a2478e8452c1ad7a1e205f7f98a02fcb30bc77,27/02/2020,71,17.1
1c642d934b490b6c4582f5b6d7dba6910e1ed36ad5c2fde74c499837cbe74a47,19/02/2021,75,24.4
e18640bc2ab9e9d68448e97b9da9fea89afab4a781e0cc04c8f4840bb256300e,14/09/2020,84,21.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,02/09/2020,84,20.7
7d8ceb4b301455e5aa56e667742e24fa69a3c91550452f7b3cb43f5eb563a596,12/02/2021,86,21.8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,12/02/2020,77.98,16
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,22/09/2020,96,10.9
8c7193261687116f5650aceef73eccdec84d7d7dfc61ca13e136b39d940fc79b,22/09/2020,94,21.3
a4b799a24bb3a4dfdd129ff67dbf60009d38d73fa21e76b030218d36c06dc5e4,12/02/2020,73,21.3
c69a1fd64fafe93c6403b1afb23624ac575119d5615e51e260bb74ad349c51f4,20/09/2021,88,21
1851ca53a6e74263d106940be58bc97f300eb59518106a504da3713b42e0d536,08/09/2020,94,16.3
379d9f80140bdab1f5e2626a74c765729d52ac7d546f429f7e3e27b64063bacf,26/09/2020,79,20
b415b0d610b51dee99cfaf91bd7baf592da893a4280a240dd999ba67673216e6,14/09/2020,96,18.5
b35e57c5c27370467799d20ee60377506302841604a5688d8e8913ced5b146db,06/02/2020,94,24.1
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,26/02/2021,77,19.9
8a6f6ddf43c3399b8c2d002f3172e0d4132780e58bd6bb3cf2eabe79c20b23fc,26/09/2021,90,14.9
22e6547d70f9803ed80e79723255dd67140ad82617b06c102343ea02d7d3c89e,09/09/2020,89,15.8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,26/09/2020,90,14.9
46698509b4c4a104954769fe91df6c97eb1d104592daa9ec0d3a5a3cdc87ee9e,13/02/2020,94,17.7
35c270ff54bfc5b06006ce2c3fb7595f9f32d6dc858cec79a4cecb40960ab978,28/02/2020,90,24.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,08/09/2021,74,19.4
7fefbbb7bb61c0a22c9cbc861a3cd5e4f98f354c15970d15a710054ca0c9052d,27/09/2020,71,19.8
631142676c7240f935c3db5709485e9951525eed9d6d0f666d05134397c239e9,12/09/2021,75,20.6
a32a9e67372cc14f502d58d707381d48bbd0c08813998ed97baeff7d13693be7,27/02/2021,80,24.4
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,08/09/2020,74.95,17.8
50e7d2b8c8fb976419b8fed61e08e45a5c8b9a92628995d7b7b4f895ed7fb4cc,22/02/2020,96,16.3
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,13/09/2020,74.52,8.8
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,09/02/2021,79.74,9.3
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,25/02/2020,74.95,17.8
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,12/02/2021,72,16.2
9055c145d552e890ee15dc55b2347701cfbedff9c7ba07127adf1bca491ddc1e,22/09/2021,94,19.2
60778af0ab36e710510d15fe9af6b2f3958ff011dd00fd822f5ab05b84b28233,01/02/2021,79,21.5
a80919e462a8918649a2d39ea0fc9a478708bd1557eda64e0dd6971bbf3e11f2,09/02/2020,91,18.2
a9a4bf6c11ef0f69246227c9ffbf91e44f4c93b21a33451068f81523d22ee97a,19/09/2020,96,17.9
d48b07388fed9762ea21493633625df2fed71c8cb6ae4711cdc55b6486d6e934,02/02/2021,85,20.3
7471b9a60ac70ed995665a9c5db106cea102e437be53955c4f1efa2724232bb8,20/02/2020,77.9,9.9
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,12/09/2021,79.17,14.3
38ddf5984acb8d7603a687946ceddccf3beff53d26cf383ce478e9960a0b0ef1,14/02/2021,75,23.1
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,13/02/2020,94,17.9
4b9089555680def0ca4f9b7fa18908bfafec131dbf5ac8d3bd61b1f6cc81617d,09/09/2020,84,20.1
a7064a3e16aecc5edfe644cc16d19184afd6cdde5aca72997a83471dc9508804,23/02/2020,79,16.9
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,01/09/2021,79.17,14.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,12/09/2020,86,19.9
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,03/09/2021,71.92,11.8
1ab5f759bf972bc1d668d34d50e922d568fb3dfc388c19f9f84bcb2eaea57fff,20/02/2021,87,23.6
4a73dcb23199844ee5240aeedea0749f1a23fce7f408bd31bcbf53cdabd07002,22/02/2021,74.88,9.4
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,24/02/2020,74,17.1
5e6aa64cedebab971083f7e15a11282eb9a683a8d42fe9dba5b9c54f2211dc38,17/02/2021,74,12.7
