reg_no,semester,course1_marks,course2_marks,course3_marks,course4_marks,course5_marks,currentCGPA,previousCGPA,totalcredithours,high_edu,next_semester_CGPA,next_semester_grade,recommendation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,8,63,88,54,66,68,1.94,1.97,13,Diploma,2.23,C,Dropout
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,9,61,82,89,86,72,1.68,2.06,13,Bachelor's Degree,1.4,D+,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,5,65,71,63,84,84,1.6,1.67,13,Bachelor's Degree,1.6,D+,Dropout
fb056b298c83d97f01e176a0f9760493639aef2df6ace6a8a505e449ef51232a,5,53,75,64,95,58,1.71,1.9,12,Bachelor's Degree,1.71,C-,Dropout
c6e476aecd06f9e3902d482fc2d8e4e99a2759c0005531d5c3b40725ac3fee3b,6,89,92,63,59,63,2.23,2.23,16,Bachelor's Degree,1.96,C-,High Risk
043ae6b31a0ab3a9dd33de9840d502f739511599500bed57e6ecb3ce47f324ac,2,70,75,86,67,80,1.92,2.2,15,Bachelor's Degree,1.92,C-,Probation
67b4ba812f0d873aab2f793eeafe33a4effb6384ea209b3176bed61d8e395cfb,3,63,69,72,76,80,1.74,1.75,15,Bachelor's Degree,1.74,C-,Dropout
f5b313aecc84ced7ac06b547a295bd397055e79f3a16614ac685f294ea7a689f,1,75,62,91,90,78,2.32,2.32,12,Bachelor's Degree,1.97,C-,High Risk
bd1362025bbc797778f1fcec2c273dd3ea9bebdb07752aff8a7c7f2220f2a31c,2,91,82,78,71,55,1.99,2.3,18,Bachelor's Degree,1.99,C-,Probation
8ffeeb60cf04e27c1ed0cd57932a3c610de4595bb040fe4ca503640dc8724520,1,61,55,91,79,94,2.02,2.02,12,Bachelor's Degree,1.72,C-,High Risk
8cd6b7e8288b510873eb0b4828cfe55a3c20217c87bfb9409f58763563cbc2f2,6,95,52,87,74,74,2.2,2.2,19,Bachelor's Degree,1.88,C-,High Risk
7feafd2e43d4b66901574de66352b8dc1a407d2706df8fd85ba792115ebf343e,4,91,52,54,82,55,3.34,3.68,14,Bachelor's Degree,3.52,B+,Low Risk
d82151b7f2d4a7106bbe10ce491948a5bd886a5e6883e987d20d9d3c2da352cc,9,74,79,80,88,50,1.37,1.74,18,Bachelor's Degree,1.37,D+,Dropout
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,2,67,93,79,60,85,1.81,2.04,16,Bachelor's Degree,1.81,C-,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,4,71,81,59,63,77,1.72,1.74,12,Bachelor's Degree,1.57,D+,Dropout
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,1,89,80,50,74,64,2.13,2.13,17,Bachelor's Degree,1.82,C-,High Risk
6f26a3085ffc04809fd54a2ccaec540b17f8d61366490a12c2ad1a7874ff2ec7,1,68,93,57,52,92,2.11,2.11,17,Bachelor's Degree,1.94,C-,High Risk
1a1fdc4d76869ce7a7ea9f0d2325468566dafa61037e0fc678da5ddd72c32556,2,61,70,92,82,63,3.26,3.05,19,Bachelor's Degree,3.26,B,Low Risk
6418514dfe2f31f4cc94c2b74505dc5e78d46f47fcbd370dc8f50924bfab77e3,1,59,63,73,59,79,2.57,2.57,14,Bachelor's Degree,2.93,B-,Medium Risk
82fd1e6e4aeecddfc25643d38f07977eb91819b22c530d51c32c555239268606,5,77,87,71,69,89,1.95,1.92,13,Bachelor's Degree,1.95,C-,Dropout
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,91,82,78,71,55,1.99,2.3,18,Bachelor's Degree,1.99,C-,Probation
04716e4beb99bd1516386a7f90eb587ef633d219272d55831fdcdbec65902e66,3,50,59,58,95,77,2.3,2.63,13,Diploma,2.58,C+,Medium Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,3,77,72,84,59,85,1.66,2.04,18,Bachelor's Degree,1.5,D+,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,6,95,52,87,74,74,2.2,2.2,19,Bachelor's Degree,1.88,C-,High Risk
95149bd6e97652b576256d2c621e780f7a8532216a475a2588508adbbd0189e9,6,64,57,89,58,61,2.29,2.29,17,Bachelor's Degree,2.04,C,Medium Risk
75718af3d130126815de16594bea800b142a6385f11bc4cf7f439ff7def6af73,5,92,70,65,56,75,2.1,1.92,12,Bachelor's Degree,2.1,C,Probation
67cadd3d631bf158c407d5707343e0a096df2f2edb4e0a329942c502181d9b58,7,93,88,81,71,53,2.65,2.81,12,Bachelor's Degree,2.86,B-,Medium Risk
74eae8f43d8b9061380c2b09b00f94611a734bdffb66e9d0fa9527c52ad5d0c9,3,53,91,56,65,77,2.46,2.54,18,Diploma,2.46,C+,Medium Risk
1936578301fa8897ba7fc874ac68eb01e8fbe794c443bc097310675f6aea8496,4,89,75,61,89,66,3.08,3.02,14,Diploma,2.71,B-,Medium Risk
7e828defdfbac4ce1d85411868577042c0dc625fd2ed8b6e5eaa4bc4f54eb052,2,86,70,73,89,81,2.1,2.34,18,Bachelor's Degree,1.77,C-,High Risk
801cd9439b0ada68804a4cd7969904ade26c09adb7453c0614cba99e5f11a83d,3,72,83,69,69,93,1.84,1.79,17,Diploma,1.89,C-,Dropout
2b8ebfea4cbaeb5c87025455e686459c3fcbead50ec538d99ff0002348b1255f,7,84,94,80,53,74,1.67,2.04,12,Diploma,1.67,C-,Probation
0d1266fdbf1da23ae649e8b5108b0ab111440d277813fa733bc09efa21c8aa3f,4,65,87,78,69,67,1.52,1.88,13,Bachelor's Degree,1.43,D+,Dropout
4fc5c0b26ae47a180e5bd925bb9a341385eeafad4744b13967aed467cae75157,4,88,94,65,50,73,3.89,3.62,17,Bachelor's Degree,3.89,A-,Low Risk
6e6b7a90e97cbbc22b39398d39b9b16888ca1ab93cbf77b5b535a2fccfb95fe1,5,59,68,70,90,64,1.2,1.5,16,Bachelor's Degree,1.2,D,Dropout
b528528a9ecbe3a3b8a133626a691d729282e31bc42da44f53986e69f85371de,6,53,69,93,75,54,2.18,2.18,13,Bachelor's Degree,1.86,C-,High Risk
b4919b3abb58e507832c7e000022e64e4a1c2f058855244fe2c2412488992ca7,6,57,77,93,61,93,2.4,2.4,14,Bachelor's Degree,2.52,C+,Medium Risk
64f9e7a296a4535f4bbf08ac04eea768f4a2b73c19db67df5ab2591f23e73c1c,2,91,82,78,52,55,3.33,3.39,14,Bachelor's Degree,3.33,B+,Low Risk
b9a1b34003f56b03963d09774555116be8adc426b017952e6a11e4002522256b,2,65,93,52,52,85,1.78,2.12,13,Diploma,1.67,C-,Probation
2fc61f65c29a1ce4240c0c79a832c0ce71d85580ca3f1ae496bcc97f88e3f1f5,9,55,79,91,77,70,3.93,4,12,Bachelor's Degree,3.93,A-,Low Risk
259ef9460a59f9fd85f9a43db9104b7bac8f912cdcc7882e15343eedf6695aab,4,71,64,64,63,67,1.91,2.18,19,Bachelor's Degree,1.85,C-,Probation
d4ca167a253083b056dd6e64a61c37d7aa303718eb852fe10a39f4215bbbc593,3,87,91,80,92,91,1.77,1.84,15,Bachelor's Degree,1.47,D+,Dropout
4854759b329040730df39f4082f3bb1103af5d67d027be66db548d24ebf55f9a,4,94,84,81,65,82,2.64,3.01,15,Diploma,2.64,C+,Medium Risk
bb7d8bef8818bf2f938b4b8167a5e6ef19d006acfce203ec3881d099a6615e2e,5,90,79,56,84,59,2.84,2.95,16,Diploma,2.84,B-,Medium Risk
7a077cb2fbefba6617fae7bc17074b4dd54e853db5110a584b447638a54c3deb,2,56,91,77,83,77,1.97,2.2,13,Bachelor's Degree,1.64,D+,Probation
1ccfe3a19946af3c2c94a25a881159dd955f7d11cddc206ec6fa3eb71ab943c4,3,89,75,94,60,71,2.36,2.25,15,Bachelor's Degree,2.11,C,Medium Risk
940552910f0b2db02de7f8692eaff6a664d5072ea23a91a987130a5ee672478f,3,89,85,52,75,91,2.02,2.3,15,Bachelor's Degree,1.81,C-,High Risk
0b24189468ba0993acbf3259942856012b24a93faf82569a344d7e96af10e576,7,58,93,64,80,76,2.49,2.61,14,Bachelor's Degree,2.1,C,Medium Risk
10398f9ae7ece371ce15a495cab661b1ab1c73dbcf48334f40c5fa978f871d1c,5,63,50,86,53,80,3.81,3.43,12,Bachelor's Degree,3.81,A-,Low Risk
ec3d4ece2d8572a9ddd762eb3a47fcf3ddf2e489f2832a2f863bdea8d6cd7b29,8,86,75,87,83,54,1.98,1.99,19,Bachelor's Degree,1.91,C-,Dropout
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,1,75,62,91,90,78,2.32,2.32,12,Bachelor's Degree,1.97,C-,High Risk
efb2a9d5d81303d8d5834134e2d0035fdf638a8f22dd8a27a38194fc4a831a16,1,91,69,60,89,72,2.02,2.02,15,Bachelor's Degree,1.71,C-,High Risk
30bb35a9a13b456f8bdd516124461b44645aaaea2c391901cedcc3ab36fd5963,5,83,70,85,77,80,2.76,2.73,16,Bachelor's Degree,2.76,B-,Medium Risk
3c83e6a2935506a79ee6cf0d7d9eb680a1b5c8d0697c4d5b9c16f76501ff49bc,3,56,71,50,53,51,1.92,2.1,15,Bachelor's Degree,1.92,C-,Probation
2ceec581a8c595b9ca90678ff10b08e192adce19bfa5b24f8f3c91f725351932,7,78,73,85,65,65,2.67,2.48,18,Bachelor's Degree,3.05,B,Low Risk
b533d26d0349420de755f20b5bd18bfcd092698bbd774c5aba7d90e8924455c2,2,56,76,84,94,87,3.52,3.64,17,Bachelor's Degree,3.27,B,Low Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,86,70,73,89,81,2.1,2.34,18,Bachelor's Degree,1.77,C-,High Risk
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,8,63,88,54,66,68,1.94,1.97,13,Bachelor's Degree,2.23,C,Dropout
70f5637f3d325ec32d0128eb9d7025e26a5539a875b0484e39dad500dfbd2d80,8,91,74,92,54,65,1.9,2.19,14,Bachelor's Degree,2.12,C,Probation
6623429c4883aae9c8c623f4f29193c6cfd7a9df7652e85cbc85bb10f77be770,4,91,57,71,88,64,2.17,2.24,19,Bachelor's Degree,1.95,C-,High Risk
2580ba4c9119266528d1c6c7715387f447d34c2fe5281fa6e20f1dcc0231a532,7,53,91,58,90,65,2.93,3.1,14,Bachelor's Degree,2.54,C+,Medium Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,10,90,84,92,50,86,1.84,2.1,19,Bachelor's Degree,1.84,C-,Probation
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,8,63,88,54,66,68,1.94,1.97,13,Bachelor's Degree,2.23,C,Dropout
ac76ff01b27ad3fa57cd237e1f941343eadc036bbec140b769eb4da6e512be4f,2,77,60,64,62,67,1.86,2.03,14,Bachelor's Degree,2.04,C,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,77,60,64,62,67,1.86,2.03,14,Diploma,2.04,C,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,1,86,76,53,61,68,2.1,2.1,16,Bachelor's Degree,1.75,C-,High Risk
b43d0096c0b38c84d5db75be464aca53cfbeaa715f53505bd879e29f99e9f859,2,60,92,74,81,75,3.31,3.21,16,Bachelor's Degree,3.38,B+,Low Risk
92afc50a730a3d6de9d7195a94ff499107ff0521358f89b106cb3094c810fd13,8,79,92,76,67,58,2.33,2.23,16,Diploma,1.96,C-,High Risk
05330f5cb3baccbfbd3a830166d8dbb36a6e5142ef9f3da3f68d609712a6467e,3,58,74,90,65,64,2.44,2.84,13,Bachelor's Degree,2.72,B-,Medium Risk
97ad6832e5b1539a35d94b62ee816af9e248d97966f1433892ad3aa4a5985f33,1,87,58,74,75,63,2.88,2.88,12,Bachelor's Degree,3.17,B,Low Risk
dfe78a98bdcfd23ebe054df96290fcec2159172cc2527befd31e5d0a5229b556,8,94,85,63,84,65,1.79,2.19,12,Bachelor's Degree,1.99,C-,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,5,59,68,70,90,64,1.2,1.5,16,Bachelor's Degree,1.2,D,Dropout
b9596c4313ad6c45177b93f3329986943bcf13a3851cac6c53a3086101905c5c,4,94,91,74,87,92,1.46,1.83,19,Bachelor's Degree,1.46,D+,Dropout
e28544f822b82ab8ab1ce39ee7178c7a6c1246d643fbce4a5f378f641ed6f026,3,70,59,68,65,68,2.91,3.02,17,Bachelor's Degree,2.91,B-,Medium Risk
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,2,72,90,73,78,72,1.97,2.32,19,Diploma,1.97,C-,Probation
4c21f5da0554eb76f751ba9fc72450d7643cb30e5f41e807adce60245dbff02c,4,90,86,68,84,86,2.34,1.96,17,Diploma,2.48,C+,Probation
64ca51e12c9096c6197ec0ecfa961a3d29b62687a7e4ad3a9c6215eb566b0048,4,81,58,84,69,77,2.66,2.87,16,Bachelor's Degree,3.04,B,Low Risk
0bf0fd17cdfe31230a4f1005c4257407af8700edad945d0115da6777525d22ef,2,77,89,91,57,78,1.88,2.14,13,Bachelor's Degree,2,C,Probation
04bab72cef1810c7b04e6a126839c6106566fc22e077e5336bb97f9cfb96f77a,1,92,95,78,84,95,2.09,2.09,12,Bachelor's Degree,1.84,C-,High Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,3,94,86,68,78,66,1.88,1.9,13,Diploma,1.52,D+,Dropout
20dd5455bf9201b244cbaa4f57707d0a7d739bd809bdec0735b890fc2ff305da,3,57,54,80,76,93,3.48,3.56,14,Diploma,3.48,B+,Low Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,8,86,75,87,83,54,1.98,1.99,19,Bachelor's Degree,1.91,C-,Dropout
e43ba6a5e8f56b2daab27a47ba378ae94460b79dd093a50dbf4b047924e49ba5,3,52,71,60,68,80,1.35,1.65,15,Bachelor's Degree,1.65,D+,Dropout
b551fbf7252758c146196fc12d2b2833dd3218f7ea4510cb30defb83856e4692,2,78,58,66,66,54,2.21,2.18,16,Bachelor's Degree,2.21,C,Medium Risk
15f527d7dee4c395a5bd3945e2fea1626f583338c3aa6c1b8a8282d448a1a773,2,51,50,57,59,64,2.46,2.52,12,Bachelor's Degree,2.49,C+,Medium Risk
59dd139260fccca8ec48aa9caed8a92adfcc5adcc2d8872fcef46a7808287ff4,4,84,90,57,64,71,3.61,3.31,15,Bachelor's Degree,3.61,B+,Low Risk
6c4b213354d120ba13c399425cce139606b375ead67704f9553a6660b9962498,4,51,61,61,63,88,2.64,2.5,16,Bachelor's Degree,2.64,C+,Medium Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,3,56,71,50,53,51,1.92,2.1,15,Bachelor's Degree,1.92,C-,Probation
cbfc337f0091403e337f01f864b83e2f3628d544451e96c9d537dc3770e4f096,3,92,60,66,53,93,2.81,2.77,19,Bachelor's Degree,3.13,B,Low Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,1,68,93,57,52,92,2.11,2.11,17,Bachelor's Degree,1.94,C-,High Risk
816f0613fe9a67acb2c9fe8fcec636f9c886149627722858da7290ff1084b7ed,5,53,92,82,88,84,3.19,3.33,16,Diploma,3.19,B,Low Risk
6169fbff8cd37f09acca15c2220b0a67d8e101e27ba0322a3362edebb7220789,4,56,91,56,81,62,2.41,2.79,15,Bachelor's Degree,2.41,C+,Medium Risk
0f0de075cea974f9c60375ecc8528bef5b451f646248e97755094a78ddee4d76,2,86,78,90,57,74,2.32,2.34,13,Bachelor's Degree,2.44,C+,Medium Risk
afc7369d8f7f09a13add8b4aaf7e1ca2fd4233b2d09fce97cec2983199e3f517,7,60,84,90,82,91,1.97,2.27,17,Bachelor's Degree,1.97,C-,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,2,90,80,71,92,54,2.08,2.2,19,Bachelor's Degree,1.84,C-,High Risk
22d78fd957cd2ed2cd51b405e0a487cd134db112d2f1a26344d7e057bfb67c04,1,68,59,59,90,70,2.02,2.02,16,Bachelor's Degree,1.89,C-,High Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,5,61,84,93,95,93,1.42,1.81,19,Bachelor's Degree,1.42,D+,Dropout
2c623dac65bf2ac3e5fd547f7bccfa00d16fb5b3c725ce039f969d7f4f94ce89,1,84,69,91,56,52,2.27,2.27,19,Bachelor's Degree,2.58,C+,Medium Risk
ea40b0dd38d751065422dc619af1c675308f52db1f5eb3c611f8c1953359aecf,9,58,90,90,71,63,3.76,3.86,19,Bachelor's Degree,3.76,A-,Low Risk
f56b9e57d8eede5d1d770f091b195028d12d2b708e8179aa2ddbad0ec7a872cb,8,50,60,89,90,52,2.09,2.17,17,Bachelor's Degree,1.86,C-,High Risk
4fbbbaab51401972b81a7a49689e69d237050c9566f57aa5754921d632fbe255,1,91,61,63,77,93,2.74,2.74,16,Bachelor's Degree,2.73,B-,Medium Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,1,91,69,60,89,72,2.02,2.02,15,Bachelor's Degree,1.71,C-,High Risk
cc0cd0550e557b494ef409e72b33a24c0cc1b9865055bdae7cc013e052e6e071,5,61,51,88,55,62,2.56,2.96,17,Bachelor's Degree,2.56,C+,Medium Risk
dd0b0548de7afd09af5c36fbc3389bb425ab258225ab71b54eab112f5201ac57,7,60,86,54,59,67,2.56,2.33,14,Bachelor's Degree,2.2,C,Medium Risk
dffee8a735a2f45240bb77d68fa5315cc6bbe22a9002d4411f347f85a8e4da4d,5,70,73,81,68,91,2.07,1.89,16,Bachelor's Degree,2.07,C,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,5,77,90,89,57,80,2.9,3.17,13,Bachelor's Degree,2.9,B-,Medium Risk
2d53c02c37a99c42ecb2d7b7e47c13ac3742dcefe0bdad2c906196f179c9c74c,3,65,81,65,79,86,2.2,2.14,19,Bachelor's Degree,2.27,C,Medium Risk
6a80053207dbae72a56e862394e86f7eaba36d355189ef1d6ff703cdfb32cd0f,3,67,76,65,85,69,2.71,2.64,13,Bachelor's Degree,3.01,B,Low Risk
f63ff855c197eef4e380399d5838d28bbc8a199f58fff04ffd005e697aa4002d,9,71,68,63,91,68,1.75,1.95,19,Bachelor's Degree,1.75,C-,Dropout
1fc3dbdb09eda7f23dd67f21a52208370b4c15c8eb4c876bd9987712c78a89d1,9,58,59,56,74,92,2.98,2.99,17,Bachelor's Degree,2.6,C+,Medium Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,9,74,79,80,88,50,1.37,1.74,18,Bachelor's Degree,1.37,D+,Dropout
0ba24f03daf4d6f87046cfc1e8e0cec9ad43a89c5d2613c95fb0d720e77cc118,3,77,56,50,94,60,1.76,2.05,13,Bachelor's Degree,1.68,C-,Probation
59805ab6c6564f9d30191f6b863a0e41c4b2a26f511141c4b8844500d8a24b0f,3,59,65,83,75,63,3.66,3.55,14,Diploma,3.6,B+,Low Risk
d9d367dc3aa9bc55698b2645a9e41d098d59f0a030123bd3c338c9b04501997b,2,68,77,90,52,81,1.97,2.29,12,Bachelor's Degree,1.97,C-,Probation
5e24d6b9ce4c1e6a0e6d307780519a665709e85453a4039f3d130eba0b6fd8cd,3,80,75,82,77,55,1.81,1.92,18,Bachelor's Degree,1.66,C-,Dropout
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,7,60,63,52,68,61,2.19,2.12,18,Bachelor's Degree,1.87,C-,High Risk
837986416104f349761f3191620c5ac59f3316fa17cc423b6cea3856f4ad48cc,3,70,69,67,50,54,1.98,1.96,17,Bachelor's Degree,2.02,C,Dropout
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,2,86,70,73,89,81,2.1,2.34,18,Bachelor's Degree,1.77,C-,High Risk
c1d1b822bab028606a341518a930c1778f7fcd2a98d7d0ed706b6432ec34aa2e,3,94,63,80,54,55,2.23,2.32,18,Bachelor's Degree,2.26,C,Medium Risk
f0a0a7ba5166b96ee8dde06a7e9592f2640b5c0adfc98475d0d3a6148ccdcaf2,7,93,57,72,55,74,2.01,2.07,17,Diploma,1.97,C-,High Risk
ce9a6a1a0013201e3ad8cda93b28e8a85df25c7ca7195ac82579065fbe29e26c,8,88,64,60,85,83,3.3,3.09,18,Bachelor's Degree,3.1,B,Low Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,9,71,68,63,91,68,1.75,1.95,19,Bachelor's Degree,1.75,C-,Dropout
a14208011d93576f8cab7d5b6a39b43fa18598f6d4feec7b1bcf2db1cb0ffeac,6,93,91,88,86,79,3.52,3.52,18,Bachelor's Degree,3.89,A-,Low Risk
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,1,91,69,60,89,72,2.02,2.02,15,Bachelor's Degree,1.71,C-,High Risk
db5ba98a3e2312121c792a20d94fdcbe90904c24730e09cfeaef32b9345dfa08,7,95,93,53,71,86,3.25,2.98,16,Bachelor's Degree,3.25,B,Low Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,3,78,67,53,54,65,2.94,3.07,16,Bachelor's Degree,3.33,B+,Low Risk
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,3,72,83,69,69,93,1.84,1.79,17,Bachelor's Degree,1.89,C-,Dropout
cfab12580fd4cc49d5871b52717f1c68e04015d948bc68788ce7d82bf3545dfa,5,75,84,82,53,78,1.78,1.78,19,Bachelor's Degree,1.78,C-,Dropout
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,2,56,69,66,69,84,1.71,2.02,15,Diploma,1.71,C-,Probation
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,4,91,57,71,88,64,2.17,2.24,19,Diploma,1.95,C-,High Risk
ef5494b1c5b9700171a54eb4727fd0e02ed952b030670d3b5b0cda8dff834c68,4,77,84,93,67,89,3.08,3.34,14,Bachelor's Degree,3.18,B,Low Risk
eba6618a42db8766ff8087297b5829f13812d36e4c9e06bc9bbc9d2221fe01c3,2,92,66,89,50,88,3.21,3.19,16,Bachelor's Degree,3.52,B+,Low Risk
49f63785f8ac11c255d410650cb4afd5c6b34352b09826739a9c08cbee9b24c3,2,78,55,70,58,68,2.92,2.71,17,Diploma,2.87,B-,Medium Risk
30671500479486aabcb7efc108acee76e971c1b81db83befd2c18cb6e4857c39,1,91,86,75,66,64,2.27,2.27,17,Diploma,1.87,C-,High Risk
